locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sudilovsky_00001	CDS	867	accA	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
Sudilovsky_00002	CDS	390				hypothetical protein
Sudilovsky_00003	CDS	1320	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
Sudilovsky_00004	CDS	261	rof		COG4568	Protein rof
Sudilovsky_00005	CDS	201				hypothetical protein
Sudilovsky_00006	CDS	555	yaeQ		COG4681	putative protein YaeQ
Sudilovsky_00007	CDS	699	nlpE		COG3015	Lipoprotein NlpE
Sudilovsky_00008	CDS	2565	mutS			DNA mismatch repair protein MutS
Sudilovsky_00009	CDS	384				hypothetical protein
Sudilovsky_00010	CDS	396				hypothetical protein
Sudilovsky_00011	CDS	261				hypothetical protein
Sudilovsky_00012	CDS	507				hypothetical protein
Sudilovsky_00013	CDS	480	hcpA_1			Major exported protein
Sudilovsky_00014	CDS	345				hypothetical protein
Sudilovsky_00015	CDS	342				hypothetical protein
Sudilovsky_00016	CDS	480	hcpA_2			Major exported protein
Sudilovsky_00017	CDS	672				hypothetical protein
Sudilovsky_00018	CDS	768	fecE	7.2.2.18	COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
Sudilovsky_00019	CDS	960	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
Sudilovsky_00020	CDS	996	fecC		COG0609	Fe(3+) dicitrate transport system permease protein FecC
Sudilovsky_00021	CDS	915	fecB		COG4594	Fe(3+) dicitrate-binding periplasmic protein FecB
Sudilovsky_00022	CDS	2349	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
Sudilovsky_00023	CDS	957	fecR_1		COG3712	Ferric citrate uptake sigma factor regulator FecR
Sudilovsky_00024	CDS	525	fecI_1		COG1595	Ferric citrate uptake sigma factor FecI
Sudilovsky_00025	CDS	1623	pdeB_1	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
Sudilovsky_00026	CDS	342				hypothetical protein
Sudilovsky_00027	CDS	1071	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
Sudilovsky_00028	CDS	726				hypothetical protein
Sudilovsky_00029	CDS	894				hypothetical protein
Sudilovsky_00030	CDS	708				hypothetical protein
Sudilovsky_00031	CDS	453				putative protein
Sudilovsky_00032	CDS	555				hypothetical protein
Sudilovsky_00033	CDS	1245				hypothetical protein
Sudilovsky_00034	CDS	1194	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Sudilovsky_00035	CDS	735	lutR_1		COG2186	HTH-type transcriptional regulator LutR
Sudilovsky_00036	CDS	1197	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
Sudilovsky_00037	CDS	195				hypothetical protein
Sudilovsky_00038	CDS	1044				hypothetical protein
Sudilovsky_00039	CDS	1209	pehA	3.2.1.15	COG5434	Endo-polygalacturonase
Sudilovsky_00040	CDS	1170	prsE_1		COG0845	Type I secretion system membrane fusion protein PrsE
Sudilovsky_00041	CDS	2139	apxIB			Toxin RTX-I translocation ATP-binding protein
Sudilovsky_00042	CDS	1440				hypothetical protein
Sudilovsky_00043	CDS	14619				hypothetical protein
Sudilovsky_00044	CDS	1647	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
Sudilovsky_00045	CDS	1050	ansB	3.5.1.1		L-asparaginase
Sudilovsky_00046	CDS	522	aroL	2.7.1.71		Shikimate kinase 2
Sudilovsky_00047	CDS	285	ppnP	2.4.2.1		Pyrimidine/purine nucleoside phosphorylase
Sudilovsky_00048	CDS	1281	yegT_1		COG2211	Putative nucleoside transporter YegT
Sudilovsky_00049	CDS	1002	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
Sudilovsky_00050	CDS	978	deoK	2.7.1.15		Deoxyribokinase
Sudilovsky_00051	CDS	747	ggaR_1		COG2188	HTH-type transcriptional regulator GgaR
Sudilovsky_00052	CDS	1878	pctB			Methyl-accepting chemotaxis protein PctB
Sudilovsky_00053	CDS	930	rdgC		COG2974	Recombination-associated protein RdgC
Sudilovsky_00054	CDS	912	mak	2.7.1.4	COG1940	Fructokinase
Sudilovsky_00055	CDS	3684	sbcC		COG0419	Nuclease SbcCD subunit C
Sudilovsky_00056	CDS	1239	sbcD		COG0420	Nuclease SbcCD subunit D
Sudilovsky_00057	CDS	156				hypothetical protein
Sudilovsky_00058	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
Sudilovsky_00059	CDS	1323	phoR	2.7.13.3	COG5002	Phosphate regulon sensor protein PhoR
Sudilovsky_00060	CDS	939	pstS_1			Phosphate-binding protein PstS
Sudilovsky_00061	CDS	1107				hypothetical protein
Sudilovsky_00062	misc_RNA	73				AaHKsRNA22
Sudilovsky_00063	CDS	1320	brnQ		COG1114	Branched-chain amino acid permease BrnQ
Sudilovsky_00064	CDS	1371	proY		COG1113	Proline-specific permease ProY
Sudilovsky_00065	CDS	1275	ybdG		COG0668	Mechanosensing system component YbdG
Sudilovsky_00066	CDS	603	ahpC_1	1.11.1.26	COG0450	Alkyl hydroperoxide reductase C
Sudilovsky_00067	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
Sudilovsky_00068	CDS	1068	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
Sudilovsky_00069	CDS	1146	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
Sudilovsky_00070	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
Sudilovsky_00071	CDS	1815	secD		COG0342	Protein translocase subunit SecD
Sudilovsky_00072	CDS	975	secF		COG0341	Protein translocase subunit SecF
Sudilovsky_00073	CDS	570	yajI		COG4238	putative lipoprotein YajI
Sudilovsky_00074	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
Sudilovsky_00075	CDS	1137	ribD		COG0117	Riboflavin biosynthesis protein RibD
Sudilovsky_00076	CDS	477	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
Sudilovsky_00077	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
Sudilovsky_00078	CDS	981	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
Sudilovsky_00079	CDS	537	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
Sudilovsky_00080	CDS	1866	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
Sudilovsky_00081	CDS	912	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
Sudilovsky_00082	CDS	249	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
Sudilovsky_00083	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
Sudilovsky_00084	misc_RNA	107				Ysr224
Sudilovsky_00085	CDS	591	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
Sudilovsky_00086	CDS	909	panE	1.1.1.169		2-dehydropantoate 2-reductase
Sudilovsky_00087	CDS	492	yajQ		COG1666	Nucleotide-binding protein YajQ
Sudilovsky_00088	CDS	1365	yajR		COG2814	Inner membrane transport protein YajR
Sudilovsky_00089	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
Sudilovsky_00090	CDS	333	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
Sudilovsky_00091	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
Sudilovsky_00092	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
Sudilovsky_00093	CDS	963	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
Sudilovsky_00094	CDS	1488	ampG		COG2223	Anhydromuropeptide permease
Sudilovsky_00095	CDS	579				hypothetical protein
Sudilovsky_00096	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
Sudilovsky_00097	CDS	1305	tig	5.2.1.8		Trigger factor
Sudilovsky_00098	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
Sudilovsky_00099	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
Sudilovsky_00100	misc_RNA	96				sraA
Sudilovsky_00101	CDS	2382	lon_1			Lon protease
Sudilovsky_00102	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
Sudilovsky_00103	CDS	1881	ppiD		COG0760	Periplasmic chaperone PpiD
Sudilovsky_00104	CDS	366				hypothetical protein
Sudilovsky_00105	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
Sudilovsky_00106	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
Sudilovsky_00107	CDS	1077	cds1	4.4.1.1	COG0031	L-cysteine desulfhydrase Cds1
Sudilovsky_00108	CDS	444				hypothetical protein
Sudilovsky_00109	CDS	462	decR		COG1522	DNA-binding transcriptional activator DecR
Sudilovsky_00110	CDS	1770	smdA			multidrug efflux ABC transporter permease/ATP-binding subunit SmdA
Sudilovsky_00111	CDS	1809	smdB			multidrug efflux ABC transporter permease/ATP-binding subunit SmdB
Sudilovsky_00112	CDS	339	glnK		COG0347	Nitrogen regulatory protein GlnK
Sudilovsky_00113	CDS	1287	amtB		COG0004	Ammonium transporter AmtB
